0.0180856	2.54854	0	0	0.0180856	2.54854	-0.0024	2.85	-0.0314	0.9995
0.0408968	3.55716	0.0566942	2.5068	0.0409	3.5573	-0.0431	3.2476	-0.1564	0.9877
-0.302193	3.94264	-0.863566	1.22496	-0.246821	3.7569	-0.1334	3.637	-0.279	0.9603
-0.404515	4.1631	-0.196825	0.51463	-0.379	4.1161	-0.2717	4.0121	-0.3971	0.9178
-0.533406	4.25948	-0.389307	0.737262	-0.497771	3.9549	-0.456	4.3668	-0.509	0.8607
-0.554831	4.77643	-0.0159705	1.36567	-0.5419	4.8171	-0.6833	4.6957	-0.6129	0.7902
-0.84802	5.08101	-0.784321	0.753484	-0.852657	4.97009	-0.95	4.9934	-0.7071	0.7071
-1.30359	5.25086	-1.15193	0.383252	-1.3162	5.2273	-1.2519	5.2554	-0.7902	0.6129
-1.76606	5.29324	-1.19154	0.191616	-1.73764	5.19985	-1.5843	5.4775	-0.8607	0.509
-2.3705	5.61402	-1.55556	0.885297	-2.3916	5.6616	-1.9418	5.6562	-0.9178	0.3971
-2.55264	5.90821	-0.199309	0.372994	-2.54797	6.01303	-2.319	5.7886	-0.9603	0.279
-2.75437	5.70664	-0.428839	-0.556812	-2.751	5.6545	-2.7098	5.8728	-0.9877	0.1564
-3.13333	5.80305	-1.18515	0.674045	-3.10234	5.73724	-3.108	5.9073	-0.9995	0.0314
-3.74125	5.63823	-1.44824	-0.491466	-3.7365	5.5727	-3.5075	5.8916	-0.9956	-0.0941
-4.03344	5.82574	-0.304366	0.0722066	-4.14994	6.15531	-3.9018	5.8259	-0.9759	-0.2181
-4.21173	5.75857	-0.424867	-0.164051	-4.2135	5.7482	-4.2848	5.7114	-0.9409	-0.3387
-4.75814	5.65506	-1.4276	-0.276912	-4.86574	5.66319	-4.6504	5.5498	-0.891	-0.454
-4.66908	5.39472	0.27804	-0.836115	-4.582	5.3359	-4.9928	5.3436	-0.8271	-0.5621
-5.00828	4.94503	-1.00303	-1.06835	-5.08338	4.89178	-5.3068	5.0961	-0.7501	-0.6613
-5.52664	4.83674	-1.3839	-0.207536	-5.5596	4.8875	-5.5872	4.8112	-0.6613	-0.7501
-5.8025	4.51934	-0.57699	-0.884219	-5.72603	4.45588	-5.8297	4.4935	-0.5621	-0.8271
-5.80762	4.28659	-0.0138353	-0.649031	-5.7811	4.2872	-6.0305	4.1478	-0.454	-0.891
-6.00979	3.84313	-0.467981	-1.19568	-6.09275	3.83083	-6.1864	3.7797	-0.3388	-0.9409
-6.39726	3.28768	-0.988508	-1.34159	-6.4242	3.2897	-6.2949	3.395	-0.2182	-0.9759
-6.2867	2.75452	0.125417	-1.23376	-5.98367	2.65488	-6.3543	2.9997	-0.0941	-0.9956
-6.32525	2.55833	-0.172778	-0.529659	-6.3517	2.587	-6.3637	2.6	0.0314	-0.9995
-6.34815	2.3532	0.200585	-0.603002	-6.46053	2.3971	-6.323	2.2024	0.1564	-0.9877
-6.20687	1.89179	0.40348	-1.14085	-6.1884	1.8698	-6.2327	1.813	0.279	-0.9603
